"Server,Share"
"SWBPHHHPS01V,EL082-MST15"
"SWBPMHXPS01V,EL082-MST03X"
"SWBPHHHPS01V,EL082-MST17"
"SWBPHHHPS01V,EL082-MST18"
"SWBPHHHPS01V,EL082-MST19"
"SWBPHHHPS01V,EL082-MST20"
"SWBPHHHPS01V,EL082-MST21"
"SWBPHHHPS01V,EL082-MST22"
"SWBPHHHPS01V,EL082-MST23"
"SWBPHHHPS01V,EL082-MST24"
"SWBPHHHPS01V,EL082-MST25"
