"Host","PrinterName","DriverName","PortName","IsDefault","Status"
"WLS111WCC011","Microsoft Print to PDF","Microsoft Print To PDF","PORTPROMPT:","False","OK"
"WLS111WCC010","Microsoft Print to PDF","Microsoft Print To PDF","PORTPROMPT:","False","OK"
"WLS111WCC009","Microsoft Print to PDF","Microsoft Print To PDF","PORTPROMPT:","False","OK"
