∩╗┐Host,UNC,FriendlyName
LPW003ASI037,\\SWBPNSHPS01V\LS111-WCC34,LS111-WCC34
LPW003ASI037,\\SWBPNSHPS01V\LS111-WCC38,LS111-WCC38
