"Host,DefaultShare"
"WEL082MST055,EL082-MST20"
"WEL082MST057,EL082-MST24"
"WEL082MST058,EL082-MST18"
"WEL082MST061,EL082-MST19"
"WEL082MST063,EL082-MST21"
"WEL082MST066,EL082-MST22"
"WEL082MST067,EL082-MST23"
"*,EL082-MST17"
